code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result
AAA,2013J,30096,F,London Region,A Level or Equivalent,80-90%,0-35,0,150,N,Pass
AAA,2013J,30268,M,London Region,A Level or Equivalent,0-10%,35-55,0,420,N,Pass
AAA,2013J,30531,F,East Midlands Region,A Level or Equivalent,20-30%,35-55,0,60,N,Pass
AAA,2013J,30549,F,East Anglian Region,Lower Than A Level,70-80%,0-35,0,60,N,Withdrawn
AAA,2013J,30850,F,South West Region,A Level or Equivalent,90-100%,0-35,0,60,N,Pass
AAA,2013J,31014,M,East Midlands Region,A Level or Equivalent,40-50%,35-55,0,60,N,Withdrawn
AAA,2013J,31107,M,Scotland,A Level or Equivalent,70-80%,0-35,0,60,N,Pass
AAA,2013J,31161,F,Yorkshire Region,A Level or Equivalent,40-50%,35-55,0,60,N,Pass
AAA,2013J,31173,F,West Midlands Region,Lower Than A Level,20-Oct,35-55,0,60,N,Pass
AAA,2013J,31205,M,Ireland,HE Qualification,,35-55,0,60,N,Pass
AAA,2013J,31269,F,Ireland,A Level or Equivalent,,35-55,0,60,N,Pass
AAA,2013J,31296,M,East Anglian Region,HE Qualification,90-100%,55<=,0,60,N,Pass
AAA,2013J,31600,M,North Region,HE Qualification,,35-55,0,60,N,Pass
AAA,2013J,31604,M,North Western Region,HE Qualification,70-80%,35-55,0,60,N,Pass
AAA,2013J,31663,F,North Western Region,A Level or Equivalent,80-90%,0-35,0,180,N,Fail
AAA,2013J,31849,M,South West Region,A Level or Equivalent,30-40%,0-35,0,120,N,Pass
AAA,2013J,32221,F,South West Region,A Level or Equivalent,80-90%,35-55,0,120,N,Withdrawn
AAA,2013J,32239,F,South West Region,A Level or Equivalent,60-70%,0-35,0,60,N,Pass
AAA,2013J,32327,M,London Region,A Level or Equivalent,20-Oct,0-35,0,180,N,Pass
AAA,2013J,32553,M,South West Region,HE Qualification,80-90%,35-55,0,170,N,Pass
AAA,2013J,32885,M,London Region,HE Qualification,20-Oct,0-35,0,120,N,Fail
AAA,2013J,32930,M,Scotland,HE Qualification,30-40%,35-55,0,60,N,Pass
AAA,2013J,33387,M,South East Region,A Level or Equivalent,50-60%,35-55,0,60,N,Distinction
AAA,2013J,33600,M,Yorkshire Region,A Level or Equivalent,70-80%,35-55,0,120,N,Withdrawn
AAA,2013J,33666,M,Scotland,A Level or Equivalent,90-100%,0-35,0,120,N,Pass
AAA,2013J,33681,F,South West Region,Lower Than A Level,90-100%,0-35,0,60,N,Pass
AAA,2013J,33796,M,London Region,A Level or Equivalent,90-100%,0-35,0,60,N,Withdrawn
AAA,2013J,33897,M,London Region,Lower Than A Level,50-60%,35-55,0,60,N,Pass
AAA,2013J,33915,F,Wales,A Level or Equivalent,30-40%,0-35,0,60,N,Withdrawn
AAA,2013J,33930,M,South West Region,HE Qualification,80-90%,35-55,0,60,N,Pass
AAA,2013J,34068,M,East Anglian Region,A Level or Equivalent,40-50%,0-35,0,90,Y,Fail
AAA,2013J,34087,F,London Region,A Level or Equivalent,20-Oct,35-55,0,60,N,Distinction
AAA,2013J,34229,M,Ireland,HE Qualification,,0-35,0,180,N,Fail
AAA,2013J,34293,M,London Region,HE Qualification,60-70%,0-35,0,60,N,Pass
AAA,2013J,34353,M,East Midlands Region,Lower Than A Level,50-60%,0-35,0,60,N,Pass
AAA,2013J,34431,M,West Midlands Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass
AAA,2013J,34653,M,East Midlands Region,A Level or Equivalent,50-60%,0-35,0,60,N,Pass
AAA,2013J,34662,M,London Region,A Level or Equivalent,40-50%,0-35,0,240,N,Pass
AAA,2013J,34694,M,Yorkshire Region,A Level or Equivalent,90-100%,0-35,0,240,N,Withdrawn
AAA,2013J,34731,M,Scotland,Post Graduate Qualification,90-100%,0-35,0,60,N,Pass
AAA,2013J,34756,M,South Region,HE Qualification,90-100%,55<=,0,60,N,Pass
AAA,2013J,34863,M,London Region,HE Qualification,80-90%,0-35,0,80,N,Pass
AAA,2013J,35001,M,South Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass
AAA,2013J,35340,M,East Anglian Region,HE Qualification,90-100%,35-55,0,60,N,Pass
AAA,2013J,35355,F,East Midlands Region,HE Qualification,60-70%,35-55,0,60,N,Fail
AAA,2013J,35502,M,London Region,HE Qualification,20-30%,35-55,0,60,N,Pass
AAA,2013J,35508,M,South West Region,A Level or Equivalent,90-100%,35-55,0,60,N,Pass
AAA,2013J,35544,M,North Western Region,Lower Than A Level,20-30%,0-35,0,90,N,Pass
AAA,2013J,35747,M,Wales,Lower Than A Level,20-30%,35-55,0,60,N,Pass
AAA,2013J,35796,M,North Western Region,HE Qualification,20-Oct,0-35,0,120,N,Pass
AAA,2013J,35812,F,West Midlands Region,Lower Than A Level,30-40%,0-35,0,60,N,Pass
AAA,2013J,35859,F,East Anglian Region,Lower Than A Level,70-80%,35-55,0,60,N,Pass
AAA,2013J,35860,F,London Region,A Level or Equivalent,80-90%,35-55,0,60,N,Withdrawn
AAA,2013J,36347,M,East Midlands Region,A Level or Equivalent,20-30%,35-55,0,60,N,Pass
AAA,2013J,36385,F,North Western Region,A Level or Equivalent,30-40%,35-55,0,60,N,Pass
AAA,2013J,36842,M,East Anglian Region,A Level or Equivalent,20-Oct,35-55,0,90,N,Fail
AAA,2013J,37298,M,East Anglian Region,A Level or Equivalent,30-40%,0-35,0,180,N,Withdrawn
AAA,2013J,37622,M,Scotland,A Level or Equivalent,80-90%,35-55,0,60,N,Pass
AAA,2013J,37652,F,South East Region,A Level or Equivalent,60-70%,0-35,0,60,N,Withdrawn
AAA,2013J,38053,M,London Region,Lower Than A Level,40-50%,0-35,0,60,N,Distinction
AAA,2013J,38187,F,Scotland,A Level or Equivalent,30-40%,0-35,0,150,N,Pass
AAA,2013J,38234,M,Wales,Lower Than A Level,70-80%,35-55,0,60,N,Fail
AAA,2013J,38711,M,North Western Region,HE Qualification,30-40%,0-35,0,60,N,Fail
AAA,2013J,38941,M,South West Region,A Level or Equivalent,30-40%,35-55,0,60,N,Pass
AAA,2013J,39208,M,South East Region,A Level or Equivalent,90-100%,35-55,0,60,N,Pass
AAA,2013J,39411,M,East Anglian Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass
AAA,2013J,39427,M,Wales,A Level or Equivalent,20-30%,0-35,0,60,N,Pass
AAA,2013J,39655,M,North Western Region,A Level or Equivalent,30-40%,0-35,0,60,N,Pass
AAA,2013J,39660,M,South East Region,A Level or Equivalent,90-100%,35-55,0,60,N,Distinction
AAA,2013J,39882,F,South East Region,A Level or Equivalent,90-100%,35-55,0,180,N,Withdrawn
AAA,2013J,40184,M,East Midlands Region,A Level or Equivalent,70-80%,0-35,0,120,N,Pass
AAA,2013J,40333,M,South East Region,HE Qualification,90-100%,55<=,0,60,N,Pass
AAA,2013J,40419,M,South East Region,A Level or Equivalent,90-100%,0-35,0,60,N,Pass
AAA,2013J,40508,M,South East Region,A Level or Equivalent,40-50%,35-55,0,240,N,Fail
AAA,2013J,40563,M,South Region,Post Graduate Qualification,90-100%,55<=,0,60,N,Distinction
AAA,2013J,40604,F,South East Region,HE Qualification,80-90%,0-35,0,60,N,Pass
AAA,2013J,40857,M,West Midlands Region,A Level or Equivalent,30-40%,35-55,0,60,N,Pass
AAA,2013J,40878,F,East Anglian Region,A Level or Equivalent,40-50%,0-35,0,60,N,Fail
AAA,2013J,41060,M,North Western Region,A Level or Equivalent,70-80%,0-35,0,60,N,Fail
AAA,2013J,41414,M,West Midlands Region,A Level or Equivalent,70-80%,0-35,0,120,Y,Pass
AAA,2013J,41489,F,Wales,Lower Than A Level,80-90%,0-35,0,120,N,Withdrawn
AAA,2013J,41547,M,West Midlands Region,A Level or Equivalent,50-60%,35-55,0,120,N,Pass
AAA,2013J,42552,M,East Anglian Region,A Level or Equivalent,90-100%,35-55,0,60,N,Pass
AAA,2013J,42616,F,London Region,A Level or Equivalent,20-Oct,0-35,0,60,N,Pass
AAA,2013J,42638,F,East Midlands Region,HE Qualification,20-Oct,0-35,0,60,N,Pass
AAA,2013J,42668,M,West Midlands Region,A Level or Equivalent,70-80%,0-35,0,60,N,Pass
AAA,2013J,42746,M,South West Region,A Level or Equivalent,60-70%,55<=,0,120,N,Pass
AAA,2013J,42818,M,South Region,Post Graduate Qualification,90-100%,55<=,0,60,N,Distinction
AAA,2013J,43011,M,South Region,A Level or Equivalent,90-100%,0-35,0,60,N,Pass
AAA,2013J,43273,F,East Anglian Region,HE Qualification,80-90%,0-35,0,120,N,Pass
AAA,2013J,43284,F,East Midlands Region,A Level or Equivalent,50-60%,0-35,0,60,N,Pass
AAA,2013J,43430,M,South Region,HE Qualification,90-100%,55<=,0,60,N,Pass
AAA,2013J,43564,M,East Anglian Region,HE Qualification,40-50%,35-55,0,60,N,Pass
AAA,2013J,43958,F,South West Region,A Level or Equivalent,20-Oct,35-55,0,60,N,Pass
AAA,2013J,45423,M,South East Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass
AAA,2013J,45462,F,South Region,HE Qualification,90-100%,35-55,0,60,N,Withdrawn
AAA,2013J,45642,F,East Anglian Region,A Level or Equivalent,60-70%,35-55,0,60,N,Pass
AAA,2013J,45664,M,Scotland,A Level or Equivalent,20-30%,0-35,0,120,N,Pass
AAA,2013J,46016,M,Scotland,HE Qualification,80-90%,0-35,0,60,N,Pass
AAA,2013J,46048,F,London Region,A Level or Equivalent,50-60%,0-35,0,150,N,Fail
AAA,2013J,46148,F,South West Region,A Level or Equivalent,0-10%,0-35,0,240,Y,Withdrawn
AAA,2013J,46605,F,South East Region,A Level or Equivalent,20-30%,0-35,0,60,N,Withdrawn
AAA,2013J,46633,M,East Anglian Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass
AAA,2013J,46705,M,North Region,A Level or Equivalent,80-90%,0-35,0,60,N,Pass
AAA,2013J,46753,M,East Anglian Region,Lower Than A Level,40-50%,0-35,0,180,N,Fail
AAA,2013J,46812,F,West Midlands Region,HE Qualification,70-80%,0-35,0,60,N,Withdrawn
AAA,2013J,46844,M,Scotland,Lower Than A Level,50-60%,55<=,0,60,N,Pass
AAA,2013J,47061,M,Yorkshire Region,HE Qualification,0-10%,0-35,0,60,N,Pass
AAA,2013J,47063,M,Ireland,HE Qualification,70-80%,35-55,0,120,N,Pass
AAA,2013J,47855,M,Yorkshire Region,A Level or Equivalent,20-Oct,0-35,0,60,N,Fail
AAA,2013J,47861,M,East Anglian Region,A Level or Equivalent,60-70%,0-35,0,180,Y,Pass
AAA,2013J,47891,M,Yorkshire Region,A Level or Equivalent,30-40%,0-35,0,60,N,Distinction
AAA,2013J,47924,M,East Anglian Region,A Level or Equivalent,50-60%,0-35,0,120,N,Pass
AAA,2013J,48040,F,Scotland,HE Qualification,50-60%,35-55,0,120,N,Fail
AAA,2013J,48152,M,North Western Region,HE Qualification,80-90%,35-55,0,60,N,Pass
AAA,2013J,48503,M,South Region,HE Qualification,90-100%,35-55,0,120,N,Withdrawn
AAA,2013J,48635,M,Yorkshire Region,A Level or Equivalent,20-Oct,0-35,0,60,N,Fail
AAA,2013J,49095,M,East Anglian Region,Lower Than A Level,70-80%,35-55,0,60,N,Fail
AAA,2013J,49119,F,London Region,A Level or Equivalent,0-10%,0-35,0,120,N,Pass
AAA,2013J,49123,M,East Anglian Region,Lower Than A Level,20-Oct,35-55,0,60,N,Pass
AAA,2013J,49530,M,South West Region,HE Qualification,40-50%,0-35,0,60,N,Pass
AAA,2013J,49670,F,South West Region,A Level or Equivalent,50-60%,0-35,0,120,Y,Pass
AAA,2013J,50069,M,Wales,HE Qualification,50-60%,35-55,0,120,N,Fail
AAA,2013J,50263,M,Yorkshire Region,Lower Than A Level,0-10%,0-35,0,180,N,Pass
AAA,2013J,50309,M,North Region,HE Qualification,,0-35,0,60,N,Distinction
AAA,2013J,50476,F,South Region,A Level or Equivalent,80-90%,35-55,0,60,N,Pass
AAA,2013J,50487,M,East Midlands Region,A Level or Equivalent,80-90%,0-35,0,60,N,Pass
AAA,2013J,50610,M,Yorkshire Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass
AAA,2013J,50619,M,Ireland,Lower Than A Level,,0-35,0,120,N,Pass
AAA,2013J,50993,M,Yorkshire Region,A Level or Equivalent,70-80%,0-35,0,120,N,Pass
AAA,2013J,51030,F,London Region,Lower Than A Level,80-90%,35-55,0,60,N,Pass
AAA,2013J,51033,M,South West Region,A Level or Equivalent,90-100%,35-55,0,60,N,Pass
AAA,2013J,51153,M,Scotland,A Level or Equivalent,0-10%,0-35,0,90,N,Withdrawn
AAA,2013J,51163,M,West Midlands Region,A Level or Equivalent,70-80%,0-35,0,120,N,Fail
AAA,2013J,51253,F,North Western Region,A Level or Equivalent,50-60%,35-55,0,120,N,Pass
AAA,2013J,51301,M,North Western Region,A Level or Equivalent,60-70%,0-35,0,60,N,Pass
AAA,2013J,51485,M,Yorkshire Region,HE Qualification,50-60%,0-35,0,180,N,Pass
AAA,2013J,51576,M,Yorkshire Region,Lower Than A Level,90-100%,0-35,0,240,N,Fail
AAA,2013J,51955,F,South East Region,Lower Than A Level,80-90%,0-35,0,60,N,Pass
AAA,2013J,52014,M,South West Region,Lower Than A Level,50-60%,35-55,0,60,N,Pass
AAA,2013J,52130,M,Wales,Lower Than A Level,20-30%,35-55,0,120,N,Pass
AAA,2013J,52275,M,North Region,A Level or Equivalent,20-30%,0-35,0,120,N,Pass
AAA,2013J,52426,M,Scotland,A Level or Equivalent,90-100%,0-35,0,240,Y,Withdrawn
AAA,2013J,52494,M,Yorkshire Region,A Level or Equivalent,50-60%,0-35,0,120,N,Pass
AAA,2013J,52702,M,West Midlands Region,HE Qualification,0-10%,35-55,0,90,N,Withdrawn
AAA,2013J,52765,M,Scotland,A Level or Equivalent,40-50%,0-35,0,60,Y,Fail
AAA,2013J,52797,F,North Western Region,A Level or Equivalent,70-80%,0-35,0,60,N,Pass
AAA,2013J,52899,F,South East Region,A Level or Equivalent,70-80%,0-35,0,150,N,Pass
AAA,2013J,53025,M,London Region,A Level or Equivalent,20-30%,0-35,0,120,N,Pass
AAA,2013J,53136,M,South West Region,HE Qualification,80-90%,0-35,0,120,N,Withdrawn
AAA,2013J,53166,M,London Region,HE Qualification,30-40%,0-35,0,60,N,Distinction
AAA,2013J,53197,M,South East Region,HE Qualification,90-100%,35-55,0,60,N,Withdrawn
AAA,2013J,53236,F,South West Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass
AAA,2013J,53300,F,North Region,A Level or Equivalent,80-90%,0-35,0,60,N,Fail
AAA,2013J,53360,M,South East Region,HE Qualification,80-90%,0-35,0,120,N,Pass
AAA,2013J,53488,M,North Western Region,HE Qualification,80-90%,35-55,0,60,N,Pass
AAA,2013J,53626,M,London Region,A Level or Equivalent,40-50%,0-35,0,120,N,Pass
AAA,2013J,53632,M,South East Region,HE Qualification,90-100%,0-35,0,120,N,Pass
AAA,2013J,53709,M,North Western Region,HE Qualification,40-50%,0-35,0,120,N,Pass
AAA,2013J,53895,M,South East Region,HE Qualification,60-70%,0-35,0,60,N,Pass
AAA,2013J,54062,M,West Midlands Region,HE Qualification,80-90%,0-35,0,120,N,Fail
AAA,2013J,54388,F,Scotland,HE Qualification,30-40%,0-35,0,60,N,Withdrawn
AAA,2013J,54391,M,West Midlands Region,HE Qualification,70-80%,0-35,0,120,N,Pass
AAA,2013J,54739,M,Ireland,HE Qualification,90-100%,0-35,0,120,N,Pass
AAA,2013J,54772,M,East Anglian Region,A Level or Equivalent,30-40%,0-35,0,120,N,Fail
AAA,2013J,54810,M,South West Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass
AAA,2013J,54867,M,South Region,Post Graduate Qualification,90-100%,35-55,0,60,N,Pass
AAA,2013J,54882,M,North Region,HE Qualification,,55<=,0,60,N,Withdrawn
AAA,2013J,55013,M,Scotland,Post Graduate Qualification,90-100%,35-55,0,60,N,Fail
AAA,2013J,55026,M,South Region,HE Qualification,90-100%,55<=,0,120,N,Pass
AAA,2013J,55104,M,West Midlands Region,A Level or Equivalent,60-70%,55<=,0,120,N,Distinction
AAA,2013J,55242,F,South Region,Lower Than A Level,50-60%,55<=,0,120,N,Withdrawn
AAA,2013J,55419,M,South Region,Lower Than A Level,70-80%,55<=,0,60,N,Pass
AAA,2013J,55450,M,West Midlands Region,A Level or Equivalent,60-70%,55<=,0,60,N,Distinction
AAA,2013J,55968,F,East Anglian Region,A Level or Equivalent,90-100%,35-55,0,60,N,Pass
AAA,2013J,56340,F,South West Region,A Level or Equivalent,50-60%,35-55,0,60,N,Pass
AAA,2013J,56637,M,North Western Region,HE Qualification,40-50%,35-55,0,60,N,Pass
AAA,2013J,56667,F,East Anglian Region,A Level or Equivalent,40-50%,35-55,0,60,N,Pass
AAA,2013J,56789,M,South West Region,A Level or Equivalent,80-90%,35-55,0,180,N,Withdrawn
AAA,2013J,57079,F,West Midlands Region,HE Qualification,90-100%,35-55,0,60,N,Pass
AAA,2013J,57227,M,South Region,HE Qualification,90-100%,35-55,0,60,N,Pass
AAA,2013J,57285,F,London Region,Lower Than A Level,30-40%,35-55,0,60,N,Pass
AAA,2013J,57340,M,Scotland,HE Qualification,80-90%,55<=,0,60,N,Pass
AAA,2013J,57359,M,Yorkshire Region,A Level or Equivalent,20-30%,35-55,0,60,N,Withdrawn
AAA,2013J,57369,M,West Midlands Region,A Level or Equivalent,70-80%,35-55,0,60,N,Fail
AAA,2013J,57506,F,East Midlands Region,HE Qualification,30-40%,35-55,0,60,N,Pass
AAA,2013J,57818,F,Yorkshire Region,A Level or Equivalent,20-Oct,35-55,0,120,N,Fail
AAA,2013J,57844,M,South West Region,A Level or Equivalent,90-100%,35-55,0,60,N,Withdrawn
AAA,2013J,58071,M,West Midlands Region,HE Qualification,40-50%,35-55,0,120,N,Pass
AAA,2013J,58077,F,East Anglian Region,Lower Than A Level,40-50%,35-55,0,60,Y,Fail
AAA,2013J,58089,M,London Region,A Level or Equivalent,70-80%,35-55,0,60,N,Pass
AAA,2013J,58221,F,South East Region,Lower Than A Level,80-90%,35-55,0,60,N,Pass
AAA,2013J,58316,M,London Region,Lower Than A Level,90-100%,35-55,0,60,N,Pass
AAA,2013J,58520,M,South Region,HE Qualification,90-100%,35-55,0,60,N,Fail
AAA,2013J,58549,M,North Western Region,A Level or Equivalent,60-70%,35-55,0,60,N,Distinction
AAA,2013J,58617,M,West Midlands Region,A Level or Equivalent,30-40%,35-55,0,60,N,Pass
AAA,2013J,58640,F,North Western Region,Lower Than A Level,50-60%,35-55,0,60,N,Withdrawn
AAA,2013J,58653,F,Scotland,HE Qualification,40-50%,35-55,0,60,N,Pass
AAA,2013J,58731,M,East Anglian Region,A Level or Equivalent,60-70%,35-55,0,60,N,Pass
AAA,2013J,58873,M,South Region,Lower Than A Level,30-40%,35-55,0,75,N,Withdrawn
AAA,2013J,58884,F,Scotland,A Level or Equivalent,20-Oct,35-55,0,60,N,Withdrawn
AAA,2013J,59185,M,South East Region,HE Qualification,70-80%,55<=,0,60,N,Pass
AAA,2013J,59272,M,Ireland,HE Qualification,,35-55,0,60,N,Pass
AAA,2013J,59275,M,Scotland,A Level or Equivalent,30-40%,35-55,0,60,N,Pass
AAA,2013J,59370,M,South West Region,Lower Than A Level,40-50%,35-55,0,60,N,Pass
AAA,2013J,59541,M,South West Region,Lower Than A Level,40-50%,35-55,0,300,Y,Pass
AAA,2013J,59725,M,Yorkshire Region,A Level or Equivalent,50-60%,35-55,0,60,N,Pass
AAA,2013J,60135,F,South Region,A Level or Equivalent,70-80%,35-55,0,60,Y,Pass
AAA,2013J,60162,F,East Midlands Region,A Level or Equivalent,80-90%,0-35,0,60,N,Pass
AAA,2013J,60405,M,South Region,A Level or Equivalent,90-100%,35-55,0,60,N,Pass
AAA,2013J,60416,F,East Anglian Region,Lower Than A Level,40-50%,35-55,0,120,Y,Pass
AAA,2013J,60519,M,West Midlands Region,Lower Than A Level,0-10%,35-55,0,60,N,Withdrawn
AAA,2013J,60809,M,Ireland,Lower Than A Level,50-60%,35-55,0,120,N,Pass
AAA,2013J,60830,F,East Anglian Region,A Level or Equivalent,90-100%,0-35,0,60,Y,Pass
AAA,2013J,61118,M,North Western Region,Lower Than A Level,30-40%,35-55,0,60,N,Pass
AAA,2013J,61227,F,South West Region,Lower Than A Level,70-80%,35-55,0,60,N,Pass
AAA,2013J,61236,F,East Anglian Region,A Level or Equivalent,60-70%,0-35,0,60,N,Fail
AAA,2013J,61297,M,London Region,A Level or Equivalent,30-40%,35-55,0,330,Y,Withdrawn
AAA,2013J,61352,F,London Region,Lower Than A Level,30-40%,35-55,0,60,N,Withdrawn
AAA,2013J,61911,F,South Region,A Level or Equivalent,90-100%,35-55,0,60,N,Pass
AAA,2013J,62034,F,West Midlands Region,A Level or Equivalent,0-10%,0-35,0,120,N,Pass
AAA,2013J,62155,F,South West Region,Lower Than A Level,50-60%,35-55,0,60,N,Fail
AAA,2013J,62278,M,West Midlands Region,Lower Than A Level,0-10%,35-55,0,60,N,Pass
AAA,2013J,62487,F,North Western Region,Lower Than A Level,80-90%,35-55,0,60,N,Distinction
AAA,2013J,62631,M,London Region,A Level or Equivalent,50-60%,35-55,0,120,N,Withdrawn
AAA,2013J,62975,F,South Region,Lower Than A Level,70-80%,35-55,0,60,N,Pass
AAA,2013J,63015,M,North Western Region,HE Qualification,20-30%,55<=,0,60,N,Pass
AAA,2013J,63044,M,Scotland,A Level or Equivalent,70-80%,35-55,0,60,Y,Withdrawn
AAA,2013J,63112,F,Yorkshire Region,A Level or Equivalent,40-50%,0-35,0,60,N,Pass
AAA,2013J,63165,F,West Midlands Region,Lower Than A Level,80-90%,0-35,0,60,Y,Pass
AAA,2013J,63295,F,North Western Region,A Level or Equivalent,40-50%,0-35,0,120,N,Fail
AAA,2013J,63371,F,Yorkshire Region,A Level or Equivalent,30-40%,35-55,0,60,N,Pass
AAA,2013J,63400,F,London Region,A Level or Equivalent,70-80%,35-55,0,60,N,Pass
AAA,2013J,63467,F,East Anglian Region,A Level or Equivalent,50-60%,35-55,0,60,N,Pass
AAA,2013J,63566,F,North Western Region,HE Qualification,30-40%,35-55,0,60,N,Pass
AAA,2013J,63721,M,Scotland,A Level or Equivalent,20-30%,0-35,0,60,N,Pass
