code_module,code_presentation,id_student,date_registration_int,date_registration,date_registration_key,date_unregistration_int,date_unregistration,date_unregistration_key
AAA,2013J,28787,-75,5/1/2014,152014,,,
AAA,2013J,28808,-96,4/10/2014,1042014,,,
AAA,2013J,28897,-29,6/16/2014,1662014,30,8/14/2014,1482014
AAA,2013J,28952,-32,6/13/2014,1362014,144,12/6/2014,6122014
AAA,2013J,29144,-195,1/1/2014,112014,,,
AAA,2013J,29335,-61,5/15/2014,1552014,,,
AAA,2013J,29411,-110,3/27/2014,2732014,129,11/21/2014,21112014
AAA,2013J,29420,-37,6/8/2014,862014,,,
AAA,2013J,29639,-67,5/9/2014,952014,,,
AAA,2013J,29764,-36,6/9/2014,962014,,,
AAA,2013J,29769,-132,3/5/2014,532014,,,
AAA,2013J,29820,-92,4/14/2014,1442014,,,
AAA,2013J,29985,-138,2/27/2014,2722014,58,9/11/2014,1192014
AAA,2013J,30091,-174,1/22/2014,2212014,158,12/20/2014,20122014
AAA,2013J,30096,-44,6/1/2014,162014,,,
AAA,2013J,30268,-16,6/29/2014,2962014,,,
AAA,2013J,30531,-54,5/22/2014,2252014,,,
AAA,2013J,30549,-64,5/12/2014,1252014,191,1/22/2015,2212015
AAA,2013J,30850,-52,5/24/2014,2452014,,,
AAA,2013J,31014,-46,5/30/2014,3052014,123,11/15/2014,15112014
AAA,2013J,31107,-64,5/12/2014,1252014,,,
AAA,2013J,31161,-117,3/20/2014,2032014,,,
AAA,2013J,31173,-32,6/13/2014,1362014,,,
AAA,2013J,31205,-50,5/26/2014,2652014,,,
AAA,2013J,31269,-45,5/31/2014,3152014,,,
AAA,2013J,31296,-162,2/3/2014,322014,,,
AAA,2013J,31600,-195,1/1/2014,112014,,,
AAA,2013J,31604,-92,4/14/2014,1442014,,,
AAA,2013J,31663,-57,5/19/2014,1952014,,,
AAA,2013J,31849,-64,5/12/2014,1252014,,,
AAA,2013J,32221,-39,6/6/2014,662014,60,9/13/2014,1392014
AAA,2013J,32239,-128,3/9/2014,932014,,,
AAA,2013J,32327,-32,6/13/2014,1362014,,,
AAA,2013J,32553,-74,5/2/2014,252014,,,
AAA,2013J,32885,-12,7/3/2014,372014,,,
AAA,2013J,32930,-109,3/28/2014,2832014,,,
AAA,2013J,33387,-136,3/1/2014,132014,,,
AAA,2013J,33600,-57,5/19/2014,1952014,60,9/13/2014,1392014
AAA,2013J,33666,-180,1/16/2014,1612014,,,
AAA,2013J,33681,-62,5/14/2014,1452014,,,
AAA,2013J,33796,-45,5/31/2014,3152014,185,1/16/2015,1612015
AAA,2013J,33897,-54,5/22/2014,2252014,,,
AAA,2013J,33915,-73,5/3/2014,352014,166,12/28/2014,28122014
AAA,2013J,33930,-68,5/8/2014,852014,,,
AAA,2013J,34068,-51,5/25/2014,2552014,,,
AAA,2013J,34087,-169,1/27/2014,2712014,,,
AAA,2013J,34229,-172,1/24/2014,2412014,,,
AAA,2013J,34293,-31,6/14/2014,1462014,,,
AAA,2013J,34353,-108,3/29/2014,2932014,,,
AAA,2013J,34431,-165,1/31/2014,3112014,,,
AAA,2013J,34653,-58,5/18/2014,1852014,,,
AAA,2013J,34662,-29,6/16/2014,1662014,,,
AAA,2013J,34694,-79,4/27/2014,2742014,109,11/1/2014,1112014
AAA,2013J,34731,2,7/17/2014,1772014,,,
AAA,2013J,34756,-151,2/14/2014,1422014,,,
AAA,2013J,34863,-45,5/31/2014,3152014,,,
AAA,2013J,35001,-47,5/29/2014,2952014,,,
AAA,2013J,35340,-50,5/26/2014,2652014,,,
AAA,2013J,35355,-31,6/14/2014,1462014,,,
AAA,2013J,35502,-36,6/9/2014,962014,,,
AAA,2013J,35508,-16,6/29/2014,2962014,,,
AAA,2013J,35544,-198,12/29/2013,29122013,,,
AAA,2013J,35747,-103,4/3/2014,342014,,,
AAA,2013J,35796,-117,3/20/2014,2032014,,,
AAA,2013J,35812,-68,5/8/2014,852014,,,
AAA,2013J,35859,-172,1/24/2014,2412014,,,
AAA,2013J,35860,-186,1/10/2014,1012014,170,1/1/2015,112015
AAA,2013J,36347,-145,2/20/2014,2022014,,,
AAA,2013J,36385,-191,1/5/2014,512014,,,
AAA,2013J,36842,-33,6/12/2014,1262014,,,
AAA,2013J,37298,-17,6/28/2014,2862014,187,1/18/2015,1812015
AAA,2013J,37622,-68,5/8/2014,852014,,,
AAA,2013J,37652,-108,3/29/2014,2932014,177,1/8/2015,812015
AAA,2013J,38053,-138,2/27/2014,2722014,,,
AAA,2013J,38187,-74,5/2/2014,252014,,,
AAA,2013J,38234,-64,5/12/2014,1252014,,,
AAA,2013J,38711,-50,5/26/2014,2652014,,,
AAA,2013J,38941,-107,3/30/2014,3032014,,,
AAA,2013J,39208,-8,7/7/2014,772014,,,
AAA,2013J,39411,-52,5/24/2014,2452014,,,
AAA,2013J,39427,-96,4/10/2014,1042014,,,
AAA,2013J,39655,-141,2/24/2014,2422014,,,
AAA,2013J,39660,-132,3/5/2014,532014,,,
AAA,2013J,39882,-162,2/3/2014,322014,-121,3/16/2014,1632014
AAA,2013J,40184,-27,6/18/2014,1862014,,,
AAA,2013J,40333,-80,4/26/2014,2642014,,,
AAA,2013J,40419,-145,2/20/2014,2022014,,,
AAA,2013J,40508,-17,6/28/2014,2862014,,,
AAA,2013J,40563,-115,3/22/2014,2232014,,,
AAA,2013J,40604,-32,6/13/2014,1362014,,,
AAA,2013J,40857,-59,5/17/2014,1752014,,,
AAA,2013J,40878,-83,4/23/2014,2342014,,,
AAA,2013J,41060,-18,6/27/2014,2762014,,,
AAA,2013J,41414,-66,5/10/2014,1052014,,,
AAA,2013J,41489,-54,5/22/2014,2252014,-3,7/12/2014,1272014
AAA,2013J,41547,-107,3/30/2014,3032014,,,
AAA,2013J,42552,-58,5/18/2014,1852014,,,
AAA,2013J,42616,-123,3/14/2014,1432014,,,
AAA,2013J,42638,-31,6/14/2014,1462014,,,
AAA,2013J,42668,-107,3/30/2014,3032014,,,
AAA,2013J,42746,-121,3/16/2014,1632014,,,
AAA,2013J,42818,-79,4/27/2014,2742014,,,
AAA,2013J,43011,-59,5/17/2014,1752014,,,
AAA,2013J,43273,-100,4/6/2014,642014,,,
AAA,2013J,43284,-47,5/29/2014,2952014,,,
AAA,2013J,43430,-67,5/9/2014,952014,,,
AAA,2013J,43564,-32,6/13/2014,1362014,,,
AAA,2013J,43958,-165,1/31/2014,3112014,,,
AAA,2013J,45423,-32,6/13/2014,1362014,,,
AAA,2013J,45462,-67,5/9/2014,952014,53,9/6/2014,692014
AAA,2013J,45642,-64,5/12/2014,1252014,,,
AAA,2013J,45664,-103,4/3/2014,342014,,,
AAA,2013J,46016,-53,5/23/2014,2352014,,,
AAA,2013J,46048,-32,6/13/2014,1362014,,,
AAA,2013J,46148,-192,1/4/2014,412014,65,9/18/2014,1892014
AAA,2013J,46605,-196,12/31/2013,31122013,160,12/22/2014,22122014
AAA,2013J,46633,-110,3/27/2014,2732014,,,
AAA,2013J,46705,-57,5/19/2014,1952014,,,
AAA,2013J,46753,48,9/1/2014,192014,,,
AAA,2013J,46812,-71,5/5/2014,552014,51,9/4/2014,492014
AAA,2013J,46844,-81,4/25/2014,2542014,,,
AAA,2013J,47061,-60,5/16/2014,1652014,,,
AAA,2013J,47063,-49,5/27/2014,2752014,,,
AAA,2013J,47855,-12,7/3/2014,372014,,,
AAA,2013J,47861,-37,6/8/2014,862014,,,
AAA,2013J,47891,-18,6/27/2014,2762014,,,
AAA,2013J,47924,-75,5/1/2014,152014,,,
AAA,2013J,48040,-44,6/1/2014,162014,,,
AAA,2013J,48152,-49,5/27/2014,2752014,,,
AAA,2013J,48503,-32,6/13/2014,1362014,5,7/20/2014,2072014
AAA,2013J,48635,-38,6/7/2014,762014,,,
AAA,2013J,49095,-129,3/8/2014,832014,,,
AAA,2013J,49119,-38,6/7/2014,762014,,,
AAA,2013J,49123,-52,5/24/2014,2452014,,,
AAA,2013J,49530,-4,7/11/2014,1172014,,,
AAA,2013J,49670,-123,3/14/2014,1432014,,,
AAA,2013J,50069,-60,5/16/2014,1652014,,,
AAA,2013J,50263,-19,6/26/2014,2662014,,,
AAA,2013J,50309,-87,4/19/2014,1942014,,,
AAA,2013J,50476,-64,5/12/2014,1252014,,,
AAA,2013J,50487,-155,2/10/2014,1022014,,,
AAA,2013J,50610,-61,5/15/2014,1552014,,,
AAA,2013J,50619,-192,1/4/2014,412014,,,
AAA,2013J,50993,-38,6/7/2014,762014,,,
AAA,2013J,51030,-179,1/17/2014,1712014,,,
AAA,2013J,51033,-185,1/11/2014,1112014,,,
AAA,2013J,51153,-31,6/14/2014,1462014,202,2/2/2015,222015
AAA,2013J,51163,-58,5/18/2014,1852014,,,
AAA,2013J,51253,-54,5/22/2014,2252014,,,
AAA,2013J,51301,-38,6/7/2014,762014,,,
AAA,2013J,51485,-23,6/22/2014,2262014,,,
AAA,2013J,51576,-57,5/19/2014,1952014,,,
AAA,2013J,51955,-53,5/23/2014,2352014,,,
AAA,2013J,52014,-130,3/7/2014,732014,,,
AAA,2013J,52130,-129,3/8/2014,832014,,,
AAA,2013J,52275,-67,5/9/2014,952014,,,
AAA,2013J,52426,-170,1/26/2014,2612014,-100,4/6/2014,642014
AAA,2013J,52494,-73,5/3/2014,352014,,,
AAA,2013J,52702,-60,5/16/2014,1652014,172,1/3/2015,312015
AAA,2013J,52765,-15,6/30/2014,3062014,,,
AAA,2013J,52797,-58,5/18/2014,1852014,,,
AAA,2013J,52899,-52,5/24/2014,2452014,,,
AAA,2013J,53025,-53,5/23/2014,2352014,,,
AAA,2013J,53136,-32,6/13/2014,1362014,119,11/11/2014,11112014
AAA,2013J,53166,-38,6/7/2014,762014,,,
AAA,2013J,53197,-43,6/2/2014,262014,73,9/26/2014,2692014
AAA,2013J,53236,-120,3/17/2014,1732014,,,
AAA,2013J,53300,-38,6/7/2014,762014,,,
AAA,2013J,53360,-29,6/16/2014,1662014,,,
AAA,2013J,53488,-16,6/29/2014,2962014,,,
AAA,2013J,53626,-156,2/9/2014,922014,,,
AAA,2013J,53632,-32,6/13/2014,1362014,,,
AAA,2013J,53709,-127,3/10/2014,1032014,,,
AAA,2013J,53895,-51,5/25/2014,2552014,,,
AAA,2013J,54062,-43,6/2/2014,262014,,,
AAA,2013J,54388,-30,6/15/2014,1562014,128,11/20/2014,20112014
AAA,2013J,54391,-158,2/7/2014,722014,,,
AAA,2013J,54739,-22,6/23/2014,2362014,,,
AAA,2013J,54772,-38,6/7/2014,762014,,,
AAA,2013J,54810,-17,6/28/2014,2862014,,,
AAA,2013J,54867,-46,5/30/2014,3052014,,,
AAA,2013J,54882,-38,6/7/2014,762014,241,3/13/2015,1332015
AAA,2013J,55013,-43,6/2/2014,262014,,,
AAA,2013J,55026,-29,6/16/2014,1662014,,,
AAA,2013J,55104,-57,5/19/2014,1952014,,,
AAA,2013J,55242,-73,5/3/2014,352014,23,8/7/2014,782014
AAA,2013J,55419,-138,2/27/2014,2722014,,,
AAA,2013J,55450,-67,5/9/2014,952014,,,
AAA,2013J,55968,-91,4/15/2014,1542014,,,
AAA,2013J,56340,-59,5/17/2014,1752014,,,
AAA,2013J,56637,-67,5/9/2014,952014,,,
AAA,2013J,56667,-170,1/26/2014,2612014,,,
AAA,2013J,56789,-42,6/3/2014,362014,173,1/4/2015,412015
AAA,2013J,57079,-62,5/14/2014,1452014,,,
AAA,2013J,57227,-108,3/29/2014,2932014,,,
AAA,2013J,57285,-87,4/19/2014,1942014,,,
AAA,2013J,57340,-144,2/21/2014,2122014,,,
AAA,2013J,57359,-63,5/13/2014,1352014,203,2/3/2015,322015
AAA,2013J,57369,-35,6/10/2014,1062014,,,
AAA,2013J,57506,-195,1/1/2014,112014,,,
AAA,2013J,57818,-169,1/27/2014,2712014,,,
AAA,2013J,57844,-87,4/19/2014,1942014,27,8/11/2014,1182014
AAA,2013J,58071,-38,6/7/2014,762014,,,
AAA,2013J,58077,20,8/4/2014,482014,,,
AAA,2013J,58089,-30,6/15/2014,1562014,,,
AAA,2013J,58221,-102,4/4/2014,442014,,,
AAA,2013J,58316,-95,4/11/2014,1142014,,,
AAA,2013J,58520,-95,4/11/2014,1142014,,,
AAA,2013J,58549,-195,1/1/2014,112014,,,
AAA,2013J,58617,-191,1/5/2014,512014,,,
AAA,2013J,58640,-124,3/13/2014,1332014,37,8/21/2014,2182014
AAA,2013J,58653,-106,3/31/2014,3132014,,,
AAA,2013J,58731,-30,6/15/2014,1562014,,,
AAA,2013J,58873,-198,12/29/2013,29122013,103,10/26/2014,26102014
AAA,2013J,58884,-58,5/18/2014,1852014,-2,7/13/2014,1372014
AAA,2013J,59185,-43,6/2/2014,262014,,,
AAA,2013J,59272,-106,3/31/2014,3132014,,,
AAA,2013J,59275,-32,6/13/2014,1362014,,,
AAA,2013J,59370,-164,2/1/2014,122014,,,
AAA,2013J,59541,-53,5/23/2014,2352014,,,
AAA,2013J,59725,-42,6/3/2014,362014,,,
AAA,2013J,60135,-81,4/25/2014,2542014,,,
AAA,2013J,60162,-57,5/19/2014,1952014,,,
AAA,2013J,60405,-102,4/4/2014,442014,,,
AAA,2013J,60416,-29,6/16/2014,1662014,,,
AAA,2013J,60519,-108,3/29/2014,2932014,240,3/12/2015,1232015
AAA,2013J,60809,-195,1/1/2014,112014,,,
AAA,2013J,60830,-32,6/13/2014,1362014,,,
AAA,2013J,61118,-102,4/4/2014,442014,,,
AAA,2013J,61227,-137,2/28/2014,2822014,,,
AAA,2013J,61236,-74,5/2/2014,252014,,,
AAA,2013J,61297,-16,6/29/2014,2962014,138,11/30/2014,30112014
AAA,2013J,61352,-65,5/11/2014,1152014,173,1/4/2015,412015
AAA,2013J,61911,-123,3/14/2014,1432014,,,
AAA,2013J,62034,-45,5/31/2014,3152014,,,
AAA,2013J,62155,-148,2/17/2014,1722014,,,
AAA,2013J,62278,-65,5/11/2014,1152014,,,
AAA,2013J,62487,-35,6/10/2014,1062014,,,
AAA,2013J,62631,-59,5/17/2014,1752014,163,12/25/2014,25122014
AAA,2013J,62975,-46,5/30/2014,3052014,,,
AAA,2013J,63015,-59,5/17/2014,1752014,,,
AAA,2013J,63044,-36,6/9/2014,962014,10,7/25/2014,2572014
AAA,2013J,63112,-49,5/27/2014,2752014,,,
AAA,2013J,63165,-32,6/13/2014,1362014,,,
AAA,2013J,63295,-43,6/2/2014,262014,,,
AAA,2013J,63371,-50,5/26/2014,2652014,,,
AAA,2013J,63400,-113,3/24/2014,2432014,,,
AAA,2013J,63467,-108,3/29/2014,2932014,,,
AAA,2013J,63566,-35,6/10/2014,1062014,,,
AAA,2013J,63721,-66,5/10/2014,1052014,,,
AAA,2013J,63827,-116,3/21/2014,2132014,,,
AAA,2013J,63856,-28,6/17/2014,1762014,175,1/6/2015,612015
AAA,2013J,63949,-74,5/2/2014,252014,,,
AAA,2013J,63958,-129,3/8/2014,832014,,,
AAA,2013J,64246,-85,4/21/2014,2142014,,,
AAA,2013J,64275,-45,5/31/2014,3152014,178,1/9/2015,912015
AAA,2013J,64296,-56,5/20/2014,2052014,-19,6/26/2014,2662014
AAA,2013J,64388,-101,4/5/2014,542014,-50,5/26/2014,2652014
AAA,2013J,64427,-56,5/20/2014,2052014,,,
AAA,2013J,64450,-57,5/19/2014,1952014,,,
AAA,2013J,64767,-38,6/7/2014,762014,,,
AAA,2013J,64777,-24,6/21/2014,2162014,,,
AAA,2013J,64901,-102,4/4/2014,442014,,,
AAA,2013J,65002,-53,5/23/2014,2352014,58,9/11/2014,1192014
AAA,2013J,65656,-80,4/26/2014,2642014,,,
AAA,2013J,65807,-129,3/8/2014,832014,-80,4/26/2014,2642014
AAA,2013J,66047,-22,6/23/2014,2362014,,,
AAA,2013J,66254,-94,4/12/2014,1242014,,,
AAA,2013J,66451,-185,1/11/2014,1112014,,,
AAA,2013J,66577,-101,4/5/2014,542014,242,3/14/2015,1432015
AAA,2013J,66579,-17,6/28/2014,2862014,,,
AAA,2013J,66713,-35,6/10/2014,1062014,220,2/20/2015,2022015
AAA,2013J,66892,-38,6/7/2014,762014,,,
AAA,2013J,67182,-73,5/3/2014,352014,,,
AAA,2013J,67471,-52,5/24/2014,2452014,114,11/6/2014,6112014
AAA,2013J,67505,-53,5/23/2014,2352014,,,
AAA,2013J,67539,-32,6/13/2014,1362014,,,
AAA,2013J,67602,-71,5/5/2014,552014,,,
AAA,2013J,67685,-50,5/26/2014,2652014,,,
AAA,2013J,67781,-81,4/25/2014,2542014,,,
AAA,2013J,67785,-52,5/24/2014,2452014,,,
AAA,2013J,67863,-11,7/4/2014,472014,,,
AAA,2013J,67986,-22,6/23/2014,2362014,,,
AAA,2013J,68011,-106,3/31/2014,3132014,219,2/19/2015,1922015
AAA,2013J,68107,-46,5/30/2014,3052014,,,
AAA,2013J,68208,-195,1/1/2014,112014,,,
AAA,2013J,68376,-59,5/17/2014,1752014,,,
AAA,2013J,68417,-144,2/21/2014,2122014,,,
AAA,2013J,68556,-43,6/2/2014,262014,,,
AAA,2013J,69239,-65,5/11/2014,1152014,,,
AAA,2013J,69346,-105,4/1/2014,142014,,,
AAA,2013J,69439,-158,2/7/2014,722014,,,
AAA,2013J,69489,-46,5/30/2014,3052014,,,
AAA,2013J,69491,-67,5/9/2014,952014,,,
AAA,2013J,69494,-65,5/11/2014,1152014,,,
AAA,2013J,69703,-87,4/19/2014,1942014,,,
AAA,2013J,69843,-59,5/17/2014,1752014,13,7/28/2014,2872014
AAA,2013J,70011,-153,2/12/2014,1222014,,,
AAA,2013J,70214,-94,4/12/2014,1242014,,,
AAA,2013J,70381,-38,6/7/2014,762014,199,1/30/2015,3012015
AAA,2013J,70464,-67,5/9/2014,952014,,,
AAA,2013J,70495,-80,4/26/2014,2642014,,,
AAA,2013J,70537,-31,6/14/2014,1462014,,,
AAA,2013J,70569,-30,6/15/2014,1562014,,,
AAA,2013J,70608,-91,4/15/2014,1542014,,,
AAA,2013J,70750,-35,6/10/2014,1062014,,,
AAA,2013J,70771,-81,4/25/2014,2542014,93,10/16/2014,16102014
AAA,2013J,70827,-16,6/29/2014,2962014,,,
AAA,2013J,71159,-63,5/13/2014,1352014,,,
AAA,2013J,71209,-137,2/28/2014,2822014,39,8/23/2014,2382014
AAA,2013J,71252,-62,5/14/2014,1452014,,,
AAA,2013J,71275,-94,4/12/2014,1242014,,,
AAA,2013J,71361,-74,5/2/2014,252014,,,
AAA,2013J,71433,-128,3/9/2014,932014,,,
AAA,2013J,71504,-106,3/31/2014,3132014,,,
AAA,2013J,71578,-165,1/31/2014,3112014,,,
AAA,2013J,71676,-102,4/4/2014,442014,,,
AAA,2013J,71723,-63,5/13/2014,1352014,,,
AAA,2013J,71897,-46,5/30/2014,3052014,,,
AAA,2013J,72057,-109,3/28/2014,2832014,,,
AAA,2013J,72070,-127,3/10/2014,1032014,,,
AAA,2013J,72114,-38,6/7/2014,762014,,,
AAA,2013J,72349,-48,5/28/2014,2852014,,,
AAA,2013J,72400,-71,5/5/2014,552014,,,
AAA,2013J,72451,-52,5/24/2014,2452014,,,
AAA,2013J,72609,-100,4/6/2014,642014,,,
AAA,2013J,72693,-144,2/21/2014,2122014,,,
AAA,2013J,72864,-29,6/16/2014,1662014,,,
AAA,2013J,73019,-31,6/14/2014,1462014,,,
AAA,2013J,73489,-43,6/2/2014,262014,,,
AAA,2013J,73584,-58,5/18/2014,1852014,,,
AAA,2013J,73664,-38,6/7/2014,762014,,,
AAA,2013J,73874,-31,6/14/2014,1462014,,,
AAA,2013J,74113,-25,6/20/2014,2062014,,,
AAA,2013J,74130,-101,4/5/2014,542014,,,
AAA,2013J,74165,-31,6/14/2014,1462014,,,
AAA,2013J,74169,-71,5/5/2014,552014,,,
AAA,2013J,74290,-109,3/28/2014,2832014,,,
AAA,2013J,74372,-87,4/19/2014,1942014,,,
AAA,2013J,74502,-170,1/26/2014,2612014,,,
AAA,2013J,74521,-58,5/18/2014,1852014,,,
AAA,2014J,74524,-52,5/24/2014,2452014,,,
AAA,2014J,74574,-18,6/27/2014,2762014,,,
AAA,2014J,74585,-38,6/7/2014,762014,,,
AAA,2014J,74695,-130,3/7/2014,732014,,,
AAA,2014J,74734,-52,5/24/2014,2452014,,,
AAA,2014J,75091,-74,5/2/2014,252014,,,
AAA,2014J,75107,-22,6/23/2014,2362014,,,
AAA,2014J,75118,-87,4/19/2014,1942014,,,
AAA,2014J,75255,-72,5/4/2014,452014,,,
AAA,2014J,75309,-80,4/26/2014,2642014,,,
AAA,2014J,75399,-50,5/26/2014,2652014,,,
AAA,2014J,75427,-82,4/24/2014,2442014,,,
AAA,2014J,75442,-144,2/21/2014,2122014,,,
AAA,2014J,75454,-78,4/28/2014,2842014,,,
AAA,2014J,75469,-58,5/18/2014,1852014,,,
AAA,2014J,75728,-23,6/22/2014,2262014,164,12/26/2014,26122014
AAA,2014J,76081,-52,5/24/2014,2452014,,,
AAA,2014J,76196,-41,6/4/2014,462014,,,
AAA,2014J,76536,-72,5/4/2014,452014,,,
AAA,2014J,76579,-106,3/31/2014,3132014,235,3/7/2015,732015
AAA,2014J,76949,-150,2/15/2014,1522014,,,
AAA,2014J,77241,-80,4/26/2014,2642014,241,3/13/2015,1332015
AAA,2014J,77367,-80,4/26/2014,2642014,,,
AAA,2014J,77692,-81,4/25/2014,2542014,,,
AAA,2014J,77744,-80,4/26/2014,2642014,,,
AAA,2014J,77746,-80,4/26/2014,2642014,,,
AAA,2014J,77763,-16,6/29/2014,2962014,,,
AAA,2014J,77845,-92,4/14/2014,1442014,,,
AAA,2014J,77995,-31,6/14/2014,1462014,207,2/7/2015,722015
AAA,2014J,77998,-28,6/17/2014,1762014,,,
AAA,2014J,78170,-44,6/1/2014,162014,,,
AAA,2014J,78255,-36,6/9/2014,962014,,,
AAA,2014J,78645,-143,2/22/2014,2222014,143,12/5/2014,5122014
AAA,2014J,79261,-82,4/24/2014,2442014,,,
AAA,2014J,79378,-25,6/20/2014,2062014,,,
AAA,2014J,79403,-68,5/8/2014,852014,,,
AAA,2014J,79461,-115,3/22/2014,2232014,,,
AAA,2014J,79610,-15,6/30/2014,3062014,,,
AAA,2014J,79683,-110,3/27/2014,2732014,,,
AAA,2014J,80001,-82,4/24/2014,2442014,24,8/8/2014,882014
AAA,2014J,80243,-51,5/25/2014,2552014,,,
AAA,2014J,80329,-149,2/16/2014,1622014,,,
AAA,2014J,80358,-46,5/30/2014,3052014,,,
AAA,2014J,80438,-127,3/10/2014,1032014,,,
AAA,2014J,80448,-28,6/17/2014,1762014,,,
AAA,2014J,80491,-30,6/15/2014,1562014,,,
AAA,2014J,80717,-41,6/4/2014,462014,,,
AAA,2014J,80745,-154,2/11/2014,1122014,,,
AAA,2014J,80775,-74,5/2/2014,252014,,,
AAA,2014J,80868,-92,4/14/2014,1442014,,,
AAA,2014J,80886,-129,3/8/2014,832014,234,3/6/2015,632015
AAA,2014J,81216,-72,5/4/2014,452014,104,10/27/2014,27102014
AAA,2014J,81351,-156,2/9/2014,922014,,,
AAA,2014J,81536,-57,5/19/2014,1952014,172,1/3/2015,312015
AAA,2014J,81754,-24,6/21/2014,2162014,201,2/1/2015,122015
AAA,2014J,82088,-148,2/17/2014,1722014,,,
AAA,2014J,82201,-22,6/23/2014,2362014,,,
AAA,2014J,82341,-44,6/1/2014,162014,,,
AAA,2014J,82535,-85,4/21/2014,2142014,,,
AAA,2014J,82556,-89,4/17/2014,1742014,,,
AAA,2014J,82575,-30,6/15/2014,1562014,,,
AAA,2014J,82611,-115,3/22/2014,2232014,,,
AAA,2014J,82741,-45,5/31/2014,3152014,67,9/20/2014,2092014
AAA,2014J,82817,-23,6/22/2014,2262014,,,
AAA,2014J,83219,-22,6/23/2014,2362014,,,
AAA,2014J,83254,-64,5/12/2014,1252014,,,
AAA,2014J,83453,-30,6/15/2014,1562014,,,
AAA,2014J,83553,3,7/18/2014,1872014,,,
AAA,2014J,83588,-80,4/26/2014,2642014,,,
AAA,2014J,83603,-45,5/31/2014,3152014,,,
AAA,2014J,84051,-68,5/8/2014,852014,,,
AAA,2014J,84245,-21,6/24/2014,2462014,,,
AAA,2014J,84299,-107,3/30/2014,3032014,,,
AAA,2014J,84541,-156,2/9/2014,922014,,,
AAA,2014J,84576,-135,3/2/2014,232014,,,
AAA,2014J,84604,-20,6/25/2014,2562014,,,
AAA,2014J,84605,-155,2/10/2014,1022014,,,
AAA,2014J,84664,-16,6/29/2014,2962014,,,
AAA,2014J,84812,-137,2/28/2014,2822014,,,
AAA,2014J,85092,-61,5/15/2014,1552014,,,
AAA,2014J,85144,-5,7/10/2014,1072014,,,
AAA,2014J,85216,-50,5/26/2014,2652014,,,
AAA,2014J,85241,-109,3/28/2014,2832014,,,
AAA,2014J,85302,-156,2/9/2014,922014,-87,4/19/2014,1942014
AAA,2014J,85304,-28,6/17/2014,1762014,,,
AAA,2014J,85325,-73,5/3/2014,352014,,,
AAA,2014J,85874,-56,5/20/2014,2052014,,,
AAA,2014J,86047,-38,6/7/2014,762014,,,
AAA,2014J,86291,-134,3/3/2014,332014,,,
AAA,2014J,86538,-10,7/5/2014,572014,,,
AAA,2014J,86669,-155,2/10/2014,1022014,,,
AAA,2014J,87042,-43,6/2/2014,262014,229,3/1/2015,132015
